timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1473018668113,3959,HTTP Request,200,OK,Thread Group 1-15,text,true,,784,125,125,3959,0
1473018668110,3962,HTTP Request,200,OK,Thread Group 1-103,text,true,,784,125,125,3962,0
1473018668106,3966,HTTP Request,200,OK,Thread Group 1-57,text,true,,784,125,125,3966,0
1473018668140,3932,HTTP Request,200,OK,Thread Group 1-10,text,true,,784,125,125,3932,0
1473018668106,3968,HTTP Request,200,OK,Thread Group 1-79,text,true,,784,125,125,3967,0
1473018668106,4011,HTTP Request,200,OK,Thread Group 1-36,text,true,,784,125,125,4011,0
1473018668113,4043,HTTP Request,200,OK,Thread Group 1-64,text,true,,784,125,125,4043,0
1473018668106,4050,HTTP Request,200,OK,Thread Group 1-88,text,true,,784,125,125,4050,0
1473018668116,4142,HTTP Request,200,OK,Thread Group 1-102,text,true,,784,125,125,4142,0
1473018668115,4148,HTTP Request,200,OK,Thread Group 1-39,text,true,,784,125,125,4148,0
1473018668114,4155,HTTP Request,200,OK,Thread Group 1-8,text,true,,784,125,125,4154,0
1473018668113,4175,HTTP Request,200,OK,Thread Group 1-41,text,true,,784,125,125,4175,0
1473018668118,4232,HTTP Request,200,OK,Thread Group 1-87,text,true,,784,125,125,4232,0
1473018668113,4281,HTTP Request,200,OK,Thread Group 1-77,text,true,,784,125,125,4281,0
1473018668106,4292,HTTP Request,200,OK,Thread Group 1-61,text,true,,784,125,125,4292,0
1473018668119,4348,HTTP Request,200,OK,Thread Group 1-46,text,true,,784,125,125,4347,0
1473018668109,4358,HTTP Request,200,OK,Thread Group 1-78,text,true,,784,125,125,4358,0
1473018668115,4362,HTTP Request,200,OK,Thread Group 1-19,text,true,,784,125,125,4362,0
